tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;14;2000;TT;7;2000;0
;tTT1;17;4000;TT;7;4000;0
;tTT2;5;4000;TT;7;4000;0
;tTT3;7;2000;TT;7;2000;0
;tTT4;6;4000;TT;7;4000;0
;tTT5;18;4000;TT;7;4000;0
;tTT6;5;4000;TT;7;4000;0
;tTT7;1;2000;TT;7;2000;0
;tTT8;7;4000;TT;7;4000;0
;tTT9;33;3000;TT;7;3000;0
;tTT10;19;2000;TT;7;2000;0
;tTT11;14;3000;TT;7;3000;0
;tTT12;2;4000;TT;7;4000;0
;tTT13;14;2000;TT;7;2000;0
;tTT14;1;2000;TT;7;2000;0
;tTT15;4;4000;TT;7;4000;0
;tTT16;24;4000;TT;7;4000;0
;tTT17;1;4000;TT;7;4000;0
;tTT18;6;2000;TT;7;2000;0
;tTT19;16;4000;TT;7;4000;0
;tTT20;7;3000;TT;7;3000;0
;tTT21;5;3000;TT;7;3000;0
;tTT22;6;2000;TT;7;2000;0
;tTT23;38;3000;TT;7;3000;0
;tTT24;4;2000;TT;7;2000;0
;tTT25;7;3000;TT;7;3000;0
;tTT26;7;4000;TT;7;4000;0
;tTT27;12;3000;TT;7;3000;0
;tTT28;7;3000;TT;7;3000;0
;tTT29;2;3000;TT;7;3000;0
;tET19;154;4000;ET;0;3563;2
;tET17;7;4000;ET;1;3347;1
;tET2;265;4000;ET;1;3268;0
;tET15;318;4000;ET;1;2958;1
;tET1;13;3000;ET;1;2856;0
;tET10;90;3000;ET;2;2429;1
;tET5;60;3000;ET;3;2369;0
;tET0;155;3000;ET;4;2153;0
;tET12;5;4000;ET;4;2065;0
;tET14;26;2000;ET;4;1876;0
;tET6;27;3000;ET;4;1818;0
;tET4;1;2000;ET;4;1764;0
;tET9;33;2000;ET;5;1680;0
;tET13;4;2000;ET;5;1659;0
;tET8;53;2000;ET;5;1589;0
;tET16;9;2000;ET;5;1571;0
;tET7;72;2000;ET;5;1463;0
;tET18;81;2000;ET;6;1420;2
;tET3;68;2000;ET;6;1397;0
;tET11;57;2000;ET;6;1301;0
