tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;19;2000;TT;7;2000;0
;tTT1;1;2000;TT;7;2000;0
;tTT2;18;2000;TT;7;2000;0
;tTT3;10;4000;TT;7;4000;0
;tTT4;12;3000;TT;7;3000;0
;tTT5;19;3000;TT;7;3000;0
;tTT6;15;4000;TT;7;4000;0
;tTT7;15;2000;TT;7;2000;0
;tTT8;33;2000;TT;7;2000;0
;tTT9;1;3000;TT;7;3000;0
;tTT10;12;2000;TT;7;2000;0
;tTT11;1;3000;TT;7;3000;0
;tTT12;12;3000;TT;7;3000;0
;tTT13;13;4000;TT;7;4000;0
;tTT14;19;3000;TT;7;3000;0
;tTT15;16;2000;TT;7;2000;0
;tTT16;2;4000;TT;7;4000;0
;tTT17;30;2000;TT;7;2000;0
;tTT18;11;4000;TT;7;4000;0
;tTT19;16;3000;TT;7;3000;0
;tTT20;19;2000;TT;7;2000;0
;tTT21;6;2000;TT;7;2000;0
;tTT22;69;3000;TT;7;3000;0
;tTT23;28;2000;TT;7;2000;0
;tTT24;20;2000;TT;7;2000;0
;tTT25;8;3000;TT;7;3000;0
;tTT26;38;3000;TT;7;3000;0
;tTT27;7;2000;TT;7;2000;0
;tTT28;28;2000;TT;7;2000;0
;tTT29;7;4000;TT;7;4000;0
;tET14;304;4000;ET;0;3864;3
;tET10;227;4000;ET;0;3488;2
;tET0;320;4000;ET;1;2969;1
;tET9;14;4000;ET;1;2471;0
;tET19;89;4000;ET;1;2237;0
;tET18;124;4000;ET;1;2193;3
;tET3;11;3000;ET;1;2088;0
;tET8;19;2000;ET;2;1971;0
;tET16;215;3000;ET;2;1868;0
;tET17;4;2000;ET;3;1852;3
;tET12;6;2000;ET;3;1774;1
;tET11;53;3000;ET;3;1759;1
;tET5;9;3000;ET;3;1745;0
;tET15;49;2000;ET;3;1736;0
;tET13;136;2000;ET;4;1565;0
;tET7;39;2000;ET;5;1524;0
;tET4;34;2000;ET;5;1259;0
;tET1;108;2000;ET;5;1252;2
;tET2;27;2000;ET;5;1251;0
;tET6;55;2000;ET;6;1084;0
