tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;18;3000;TT;7;3000;0
;tTT1;42;2000;TT;7;2000;0
;tTT2;4;3000;TT;7;3000;0
;tTT3;3;2000;TT;7;2000;0
;tTT4;56;4000;TT;7;4000;0
;tTT5;37;3000;TT;7;3000;0
;tTT6;6;2000;TT;7;2000;0
;tTT7;9;2000;TT;7;2000;0
;tTT8;56;2000;TT;7;2000;0
;tTT9;37;4000;TT;7;4000;0
;tTT10;71;2000;TT;7;2000;0
;tTT11;7;4000;TT;7;4000;0
;tTT12;56;4000;TT;7;4000;0
;tTT13;25;4000;TT;7;4000;0
;tTT14;139;4000;TT;7;4000;0
;tTT15;91;4000;TT;7;4000;0
;tTT16;14;2000;TT;7;2000;0
;tTT17;60;3000;TT;7;3000;0
;tTT18;26;3000;TT;7;3000;0
;tTT19;100;4000;TT;7;4000;0
;tTT20;7;2000;TT;7;2000;0
;tTT21;127;4000;TT;7;4000;0
;tTT22;60;2000;TT;7;2000;0
;tTT23;12;2000;TT;7;2000;0
;tTT24;75;4000;TT;7;4000;0
;tTT25;161;3000;TT;7;3000;0
;tTT26;73;2000;TT;7;2000;0
;tTT27;2;2000;TT;7;2000;0
;tTT28;83;4000;TT;7;4000;0
;tTT29;81;3000;TT;7;3000;0
;tET12;81;4000;ET;0;3846;2
;tET19;47;3000;ET;0;2591;1
;tET15;151;3000;ET;0;2524;0
;tET11;19;3000;ET;0;2508;0
;tET8;66;3000;ET;1;2330;2
;tET9;254;3000;ET;2;2222;0
;tET3;94;4000;ET;2;2144;0
;tET1;21;3000;ET;2;2020;0
;tET18;28;2000;ET;3;1990;0
;tET5;6;2000;ET;3;1974;0
;tET17;107;3000;ET;3;1925;0
;tET14;37;2000;ET;3;1812;0
;tET13;9;2000;ET;3;1739;0
;tET16;96;2000;ET;4;1699;0
;tET10;11;3000;ET;5;1695;0
;tET0;3;2000;ET;5;1530;0
;tET6;5;2000;ET;5;1476;0
;tET7;7;2000;ET;6;1104;0
;tET2;52;2000;ET;6;1059;0
;tET4;27;2000;ET;6;1043;0
