tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;66;4000;TT;7;4000;0
;tTT1;6;3000;TT;7;3000;0
;tTT2;49;3000;TT;7;3000;0
;tTT3;23;4000;TT;7;4000;0
;tTT4;56;4000;TT;7;4000;0
;tTT5;142;4000;TT;7;4000;0
;tTT6;16;3000;TT;7;3000;0
;tTT7;9;2000;TT;7;2000;0
;tTT8;40;3000;TT;7;3000;0
;tTT9;10;2000;TT;7;2000;0
;tTT10;10;2000;TT;7;2000;0
;tTT11;23;4000;TT;7;4000;0
;tTT12;11;4000;TT;7;4000;0
;tTT13;13;3000;TT;7;3000;0
;tTT14;4;4000;TT;7;4000;0
;tTT15;2;3000;TT;7;3000;0
;tTT16;45;3000;TT;7;3000;0
;tTT17;47;2000;TT;7;2000;0
;tTT18;54;3000;TT;7;3000;0
;tTT19;34;2000;TT;7;2000;0
;tTT20;12;3000;TT;7;3000;0
;tTT21;6;2000;TT;7;2000;0
;tTT22;9;3000;TT;7;3000;0
;tTT23;3;3000;TT;7;3000;0
;tTT24;9;3000;TT;7;3000;0
;tTT25;30;3000;TT;7;3000;0
;tTT26;1;3000;TT;7;3000;0
;tTT27;3;2000;TT;7;2000;0
;tTT28;94;2000;TT;7;2000;0
;tTT29;84;4000;TT;7;4000;0
;tET9;63;4000;ET;0;4000;1
;tET14;18;4000;ET;0;3630;0
;tET17;39;4000;ET;0;3524;0
;tET6;154;3000;ET;0;2906;1
;tET5;60;3000;ET;1;2612;0
;tET7;81;3000;ET;1;2590;0
;tET0;12;4000;ET;2;2486;1
;tET12;75;3000;ET;2;2388;0
;tET11;25;3000;ET;2;2009;0
;tET13;81;3000;ET;3;1956;0
;tET15;147;3000;ET;3;1812;0
;tET4;29;2000;ET;4;1784;0
;tET18;25;3000;ET;4;1721;0
;tET2;1;2000;ET;6;1637;0
;tET3;61;2000;ET;6;1591;1
;tET19;120;3000;ET;6;1582;0
;tET8;103;2000;ET;6;1544;0
;tET16;26;2000;ET;6;1283;0
;tET10;8;2000;ET;6;1266;0
;tET1;2;2000;ET;6;1057;0
