tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;33;3000;TT;7;3000;0
;tTT1;27;2000;TT;7;2000;0
;tTT2;44;4000;TT;7;4000;0
;tTT3;4;2000;TT;7;2000;0
;tTT4;6;2000;TT;7;2000;0
;tTT5;3;3000;TT;7;3000;0
;tTT6;161;4000;TT;7;4000;0
;tTT7;60;3000;TT;7;3000;0
;tTT8;83;2000;TT;7;2000;0
;tTT9;10;3000;TT;7;3000;0
;tTT10;13;3000;TT;7;3000;0
;tTT11;3;2000;TT;7;2000;0
;tTT12;138;4000;TT;7;4000;0
;tTT13;16;3000;TT;7;3000;0
;tTT14;62;4000;TT;7;4000;0
;tTT15;24;4000;TT;7;4000;0
;tTT16;22;3000;TT;7;3000;0
;tTT17;8;2000;TT;7;2000;0
;tTT18;106;3000;TT;7;3000;0
;tTT19;50;4000;TT;7;4000;0
;tTT20;36;2000;TT;7;2000;0
;tTT21;5;3000;TT;7;3000;0
;tTT22;122;4000;TT;7;4000;0
;tTT23;19;3000;TT;7;3000;0
;tTT24;38;3000;TT;7;3000;0
;tTT25;11;2000;TT;7;2000;0
;tTT26;5;4000;TT;7;4000;0
;tTT27;37;3000;TT;7;3000;0
;tTT28;71;3000;TT;7;3000;0
;tTT29;80;4000;TT;7;4000;0
;tET7;13;4000;ET;0;3682;2
;tET13;21;4000;ET;0;3563;1
;tET17;30;4000;ET;0;3354;0
;tET15;1;4000;ET;0;2844;0
;tET8;13;3000;ET;1;2766;1
;tET0;122;3000;ET;1;2570;0
;tET14;43;3000;ET;2;2454;0
;tET1;47;4000;ET;2;2059;1
;tET2;9;3000;ET;2;2019;0
;tET10;20;2000;ET;3;1962;0
;tET19;14;3000;ET;3;1942;0
;tET18;16;3000;ET;3;1901;0
;tET16;19;3000;ET;5;1851;2
;tET9;28;3000;ET;5;1806;0
;tET4;7;2000;ET;5;1784;0
;tET5;90;3000;ET;5;1595;0
;tET6;39;3000;ET;6;1531;0
;tET3;18;2000;ET;6;1335;0
;tET12;15;2000;ET;6;1264;1
;tET11;28;2000;ET;6;1044;0
