tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;7;4000;TT;7;4000;0
;tTT1;4;4000;TT;7;4000;0
;tTT2;1;3000;TT;7;3000;0
;tTT3;2;3000;TT;7;3000;0
;tTT4;10;3000;TT;7;3000;0
;tTT5;7;3000;TT;7;3000;0
;tTT6;25;2000;TT;7;2000;0
;tTT7;10;3000;TT;7;3000;0
;tTT8;11;3000;TT;7;3000;0
;tTT9;6;3000;TT;7;3000;0
;tTT10;15;3000;TT;7;3000;0
;tTT11;11;2000;TT;7;2000;0
;tTT12;9;2000;TT;7;2000;0
;tTT13;2;2000;TT;7;2000;0
;tTT14;8;2000;TT;7;2000;0
;tTT15;20;2000;TT;7;2000;0
;tTT16;15;2000;TT;7;2000;0
;tTT17;2;2000;TT;7;2000;0
;tTT18;13;4000;TT;7;4000;0
;tTT19;21;4000;TT;7;4000;0
;tTT20;5;3000;TT;7;3000;0
;tTT21;5;2000;TT;7;2000;0
;tTT22;6;2000;TT;7;2000;0
;tTT23;3;3000;TT;7;3000;0
;tTT24;12;2000;TT;7;2000;0
;tTT25;1;2000;TT;7;2000;0
;tTT26;1;2000;TT;7;2000;0
;tTT27;6;4000;TT;7;4000;0
;tTT28;1;2000;TT;7;2000;0
;tTT29;30;3000;TT;7;3000;0
;tET12;5;4000;ET;0;3245;2
;tET13;5;4000;ET;0;3142;1
;tET16;14;4000;ET;1;3084;0
;tET11;3;4000;ET;1;2999;0
;tET8;8;3000;ET;1;2592;0
;tET0;31;4000;ET;1;2445;0
;tET9;7;3000;ET;2;2288;0
;tET19;26;3000;ET;2;2156;0
;tET7;5;2000;ET;2;1962;0
;tET6;1;3000;ET;2;1934;0
;tET2;1;2000;ET;3;1748;0
;tET5;5;2000;ET;3;1709;2
;tET18;7;2000;ET;3;1439;2
;tET1;2;2000;ET;3;1402;0
;tET17;13;2000;ET;4;1401;0
;tET14;21;2000;ET;4;1383;2
;tET3;17;2000;ET;6;1306;0
;tET10;40;2000;ET;6;1208;2
;tET4;35;2000;ET;6;1186;0
;tET15;5;2000;ET;6;1089;2
